product_category,product_name,product_img_url,product_source,product_price,idx
jacket,FORCLAZ By Decathlon,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/productimage/2020/11/8/e6bed9b2-2682-4b00-94f7-4ee65af03e321604804378522-1.jpg",jackets/forclaz-by-decathlon/forclaz-by-decathlon-men-blue-solid-padded-jacket/12926470/buy,None,2444
heels,EVERLY,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/17314078/2022/2/28/05161c06-cd19-4270-9698-d3c69802a6241646049734021EVERLYWomenBeigeSlip-OnSneakers1.jpg",heels/everly/everly-beige--tan-textured-wedge-pumps-with-laser-cuts/17314078/buy,Rs. 899,488
heels,Metro,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/18091456/2022/4/29/46b5f185-764d-436e-ada8-3685463150dd1651228173263MetroBlueStripedBlockSandals1.jpg",heels/metro/metro-blue-striped-block-sandals/18091456/buy,Rs. 1183,220
sneakers,Skechers,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/13976184/2022/4/25/79899f9a-85b8-4558-89e8-96174f0e51521650883724547SkechersMenNavyBlueEQUALIZER40-PHAIRMESneakers1.jpg",casual-shoes/skechers/skechers-men-navy-blue-equalizer-40---phairme-sneakers/13976184/buy,Rs. 4499,2224
heels,Bata,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/16442842/2021/12/9/9a26f507-4e55-4659-ae58-e57cb6fa270a1639057740666BataBlueComfortSandalswithBuckles1.jpg",heels/bata/bata-blue-comfort-sandals-with-buckles/16442842/buy,None,1171
dress,Cherry Crumble,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/14564468/2022/1/27/d8b9032f-45f3-46e7-9b0f-c1c52787ca1f1643298972426CherryCrumbleGirlsBlackEmbellishedNetVelvetFinishFitFlareDre1.jpg",dresses/cherry-crumble/cherry-crumble-girls-black-embellished-net--velvet-finish-fit--flare-dress/14564468/buy,Rs. 2639,1757
t-shirt,U.S. Polo Assn.,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/17895040/2022/5/11/cc7fa7b6-eed0-438a-9edb-dc41a7470cef1652241653543-US-Polo-Assn-Men-Blue-Polo-Collar-Pure-Cotton-T-shirt-675165-1.jpg",tshirts/us-polo-assn/us-polo-assn-men-blue-polo-collar-pure-cotton-t-shirt/17895040/buy,Rs. 899,661
pants,Jockey,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/15036252/2022/2/25/fa9ee582-4ac2-488b-9f79-0eb48d1280731645782205825-Jockey-Women-Charcoal-Grey-Solid-Slim-Fit-Track-Pants-860164-1.jpg",track-pants/jockey/jockey-women-charcoal-grey-solid-slim-fit-track-pants/15036252/buy,None,1009
skirt,anayna,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/17351560/2022/3/25/4dff58a3-db7c-487c-9593-3ba2ac5ec4251648207694266-Anayna-Womens-Printed-Flared-Skirt-7151648207693625-1.jpg",skirts/anayna/anayna-women-navy-blue--maroon-printed-flared-cotton-maxi-skirt/17351560/buy,Rs. 989,680
pants,Puma,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/15118696/2021/8/27/58b8fbdd-0630-4b8a-bf0c-083fb2f1574a1630041631580-Puma-Men-Track-Pants-4851630041630839-1.jpg",track-pants/puma/puma-men-black-and-white-printed-drycell-power-track-pants/15118696/buy,Rs. 1749,1629
t-shirt,Roadster,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/11404322/2020/8/11/511b5441-52ff-498e-810c-6a56b1c8f50c1597147924211-Roadster-Women-Green--Yellow-Printed-Round-Neck-T-shirt-6741-1.jpg",tshirts/roadster/roadster-women-green--yellow-printed-round-neck-t-shirt/11404322/buy,Rs. 349,1138
jacket,her by invictus,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/14444124/2021/11/11/981686cc-89f4-4fa8-9f78-ac83b5e5669b1636636133990-her-by-invictus-Women-Jackets-8581636636133587-1.jpg",jackets/her-by-invictus/her-by-invictus-women-pretty-pink-colourblocked-bomber-jacket/14444124/buy,Rs. 779,1528
heels,Shezone,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/16582570/2021/12/22/07b35210-a14d-4959-92a4-74ed8a2e7c5b1640159515887ShezoneCream-ColouredStilettoPumps1.jpg",heels/shezone/shezone-cream-coloured-stiletto-pumps/16582570/buy,Rs. 1499,1139
jacket,Vero Moda,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/15687722/2021/9/29/a78a3e5e-9862-488f-9ca9-1b7931d1eccb1632923074480VeroModaWomenPinkWashedCropDenimJacket1.jpg",jackets/vero-moda/vero-moda-women-pink-washed-denim-jacket/15687722/buy,Rs. 1649,147
dress,MomToBe,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/13856982/2021/8/31/40f8f356-a1a6-41c3-9cd2-3c96286188911630421083906-MomToBe-Women-Black-Solid-Maxi-Maternity-Dress-7021630421083-1.jpg",dresses/momtobe/momtobe-women-black-solid-maxi-maternity-dress/13856982/buy,Rs. 1394,2395
shorts,MONTREZ,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/18453090/2022/5/27/351b520b-1f98-431d-81bf-955d07aa24e61653664721212Shorts1.jpg",shorts/montrez/montrez-women-blue-high-rise-denim-shorts/18453090/buy,Rs. 599,2508
shirt,HIGHLANDER,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/6552791/2019/12/3/bf4fb26b-7d1b-45ef-a4fe-01d3d3eb43ae1575377807943-HIGHLANDER-Men-Turquoise-Blue-Slim-Fit-Solid-Casual-Shirt-35-1.jpg",shirts/highlander/highlander-men-turquoise-blue-slim-fit-solid-casual-shirt/6552791/buy,Rs. 562,154
bags,Bagsy Malone,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/16335430/2021/12/2/b95a38cd-cec7-4d97-902a-cf0aa89481df1638454418417BagsyMaloneBlackAnimalPUOversizedShopperHandheldBagwithCutWo1.jpg",handbags/bagsy-malone/bagsy-malone-black-animal-pu-oversized-shopper-handheld-bag-with-cut-work/16335430/buy,Rs. 849,1242
